Specimen_Filename,scientificName,flower_len_cm,flower_len_cm_log,corolla_base_cm,corolla_base_cm_log,corolla_apex_cm,corolla_apex_cm_log,base_apex_ratio,base_apex_ratio_log,degree_curvature,degree_curvature_log,stamen_ex_cm,stamen_ex_cm_log,anther_width_cm,anther_width_cm_log,anther_len_cm,anther_len_cm_log,leaf_area_cm2 ,leaf_area_cm2_log,leaf_len_cm ,leaf_len_cm_log,leaf_width_cm ,leaf_width_cm_log,leaf_len_width_ratio,leaf_len_width_ratio_log,decimallongtitude,decimallatitude
C_baezanus_MO-1190921,C_baezanus,2.619,0.418135498,0.66,-0.180456064,0.981,-0.008330993,0.672782875,-0.172125072,132.553,2.122389561,0.937,-0.028260409,0.352,-0.453457337,0.899,-0.046240308,196.995,2.294455203,27.265,1.435605502,10.919,1.038182866,2.497023537,0.397422636,-77.65,-0.2
C_baezanus_MO-1190923,C_baezanus,2.895,0.461648568,0.756,-0.121478204,1.203,0.080265627,0.628428928,-0.201743832,123.714,2.092418849,0.8575,-0.066765871,0.298,-0.525783736,0.557,-0.254144805,72.474,1.860182232,13.882,1.14245204,7.22,0.858537198,1.922714681,0.283914842,-77.8333,-0.73333
C_baezanus_MO-1190924,C_baezanus,2.93,0.46686762,0.618,-0.209011525,0.83,-0.080921908,0.744578313,-0.128089617,134.613,2.129087003,1.657,0.219322508,0.339,-0.469800302,0.795,-0.099632871,92.9255,1.968134907,16.597,1.220029594,8.3755,0.923010743,1.981613038,0.297018851,-77.5833,-0.08333
C_baezanus_MO-1190925,C_baezanus,2.856,0.455758203,0.665,-0.177178355,0.806,-0.093664958,0.825062035,-0.083513397,137.547,2.138451123,2.069,0.315760491,0.296,-0.528708289,0.927,-0.032920266,102.559,2.010973778,14.288,1.154971442,9.555,0.980230691,1.495342752,0.17474075,-77.6667,-0.16667
C_baezanus_MO-1190926,C_baezanus,2.524,0.402089351,0.488,-0.311580178,0.7875,-0.103749438,0.61968254,-0.20783074,131.158,2.117794786,1.2525,0.097777735,0.3425,-0.465339424,0.8835,-0.053793446,88.8485,1.9486501,17.255,1.236914964,7.601,0.880870733,2.27009604,0.356044231,-77.9167,-0.66667
C_baezanus_MO-1190927,C_baezanus,2.96,0.471291711,0.722,-0.141462802,1.105,0.043362278,0.653393665,-0.18482508,120.597,2.081336504,1.566,0.194791758,0.329,-0.482804102,0.87,-0.060480747,115.348,2.062010069,19.061,1.280145681,9.791,0.990827051,1.946787866,0.289318631,N/A,N/A
C_baezanus_MO-1190928,C_baezanus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.053,1.886789552,14.537,1.16247479,7.3365,0.865488922,1.98146255,0.296985869,-77.65,-0.2
C_baezanus_MO-1190930,C_baezanus,3.169,0.500922239,0.763,-0.117475462,1.17,0.068185862,0.652136752,-0.185661324,135.917,2.13327378,1.194,0.077004327,0.343,-0.46470588,0.91,-0.040958608,103.015,2.012900467,17.6205,1.246018228,8.6705,0.938044143,2.032235742,0.307974085,-77.9,-0.61667
C_baezanus_MO-2465964,C_baezanus,2.924,0.465977368,0.393,-0.40560745,0.856,-0.067526235,0.45911215,-0.338081214,124.977,2.096830095,1.5585,0.192706807,0.2735,-0.563042669,0.933,-0.030118356,79.889,1.902486985,17.538,1.243980066,6.729,0.827950528,2.606330807,0.416029537,N/A,N/A
C_baezanus_MO-289191,C_baezanus,3.282,0.516138577,0.612,-0.213248578,1.132,0.053846427,0.540636042,-0.267095005,134.865,2.129899257,0.984,-0.007004902,0.321,-0.493494968,0.73,-0.13667714,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.9333,-0.68333
C_baezanus_MO-289192,C_baezanus,2.73,0.436162647,0.718,-0.143875556,1.049,0.020775488,0.684461392,-0.164651044,139.051,2.143174116,N/A,N/A,N/A,N/A,N/A,N/A,71.079,1.851741309,16.021,1.20468962,6.9195,0.840074714,2.315340704,0.364614907,-77.9167,-0.51667
C_baezanus_MO-289193,C_baezanus,2.398,0.379849179,0.671,-0.17327748,0.979,-0.009217308,0.685393258,-0.164060172,145.396,2.162552459,1.111,0.045714059,0.273,-0.563837353,0.679,-0.168130226,49.791,1.697150849,12.745,1.10533984,5.462,0.737351696,2.333394361,0.367988144,-77.9,-0.68333
C_baezanus_MO-289837,C_baezanus,3.045,0.483587297,0.798,-0.097997109,1.186,0.074084689,0.672849916,-0.172081798,133.514,2.125526807,1.1,0.041392685,0.348,-0.458420756,0.745,-0.127843727,117.2325,2.069048026,20.486,1.311457168,8.2605,0.917006336,2.479995158,0.394450833,-77.6167,-0.08333
C_baezanus_MO-289839,C_baezanus,2.861,0.456517858,0.687,-0.163043263,1.081,0.033825694,0.635522664,-0.196868957,155.654,2.192160286,1.069,0.028977705,0.529,-0.276544328,1.058,0.024485668,205.061,2.311883071,29.008,1.462517787,9.955,0.998041264,2.913912607,0.464476522,-77.8167,-0.71667
C_beslerioides_MO-1190935,C_beslerioides,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.099,1.875634154,13.231,1.121592669,7.738,0.888628725,1.709873352,0.232963944,N/A,N/A
C_capitatus_MO-1291111,C_capitatus,2.346,0.370328008,0.326,-0.4867824,1.051,0.021602716,0.31018078,-0.508385116,127.044,2.103954159,0.98,-0.008773924,0.251,-0.600326279,0.658,-0.181774106,110.556,2.043582317,19.517,1.290413062,8.921,0.950413539,2.18775922,0.339999523,N/A,N/A
C_carpishensis_MO-797392,C_carpishensis,2.122,0.32674538,0.226,-0.645891561,0.726,-0.139063379,0.311294766,-0.506828182,150.682,2.178061376,0.876,-0.057495894,0.277,-0.557520231,0.589,-0.229884705,38.092,1.580833776,14.223,1.15299121,4.652,0.667639706,3.057394669,0.485351504,-76.083333,-9.7
C_congestus_MO-042648,C_congestus,2.646,0.42258984,0.326,-0.4867824,0.94,-0.026872146,0.346808511,-0.459910254,131.497,2.118915845,1.444,0.159567193,0.269,-0.57024772,0.454,-0.342944147,98.3555,1.992798651,20.467,1.31105419,7.0405,0.847603503,2.907037852,0.463450687,N/A,N/A
C_congestus_MO-1050966,C_congestus,3.1015,0.491571786,0.2565,-0.590912631,1.0405,0.017242085,0.246516098,-0.608154715,138.6865,2.142034188,0.632,-0.199282922,0.238,-0.623423043,0.589,-0.229884705,95.6945,1.980886978,20.4765,1.311255726,7.546,0.877716801,2.713556851,0.433538925,-83.783333,9.75
C_congestus_MO-1050967,C_congestus,2.774,0.443106457,0.378,-0.4225082,1.089,0.03702788,0.347107438,-0.45953608,141.383,2.150397193,N/A,N/A,N/A,N/A,N/A,N/A,181.366,2.258555875,24.8845,1.395928919,11.5425,1.062299883,2.155902101,0.333629036,-82.961111,9.025
C_congestus_MO-1050968,C_congestus,2.957,0.470851325,0.383,-0.416801226,0.824,-0.084072788,0.464805825,-0.332728438,125.143,2.097406562,0.602,-0.220403509,0.2715,-0.566230166,0.602,-0.220403509,94.4205,1.975066296,16.582,1.219636911,8.9825,0.953397226,1.846033955,0.266239685,-83.825,10.113889
C_congestus_MO-1050969,C_congestus,2.5955,0.414221033,0.404,-0.393618635,0.935,-0.029188389,0.432085561,-0.364430246,145.416,2.162612194,0.886,-0.052566278,0.264,-0.578396073,0.635,-0.197226275,53.312,1.726824975,14.043,1.147459896,6.269,0.79719827,2.240070187,0.350261626,-82.983333,9.233333
C_congestus_MO-1053113,C_congestus,3.2335,0.509672865,0.4095,-0.387746094,0.9495,-0.022505031,0.431279621,-0.365241063,132.814,2.123243857,0.9165,-0.037867531,0.2335,-0.631713115,0.5775,-0.238448011,92.521,1.966240318,18.823,1.274688842,7.991,0.902601131,2.355524966,0.372087712,-82.35,8.783333
C_congestus_MO-1053115,C_congestus,2.8765,0.458864378,0.394,-0.404503778,0.7735,-0.111539682,0.50937298,-0.292964096,146.9815,2.167262675,0.8465,-0.072373038,0.264,-0.578396073,0.5575,-0.253755128,117.8405,2.071294577,21.0275,1.322787642,8.7,0.939519253,2.416954023,0.383268389,-82.733333,8.833333
C_congestus_MO-1053116,C_congestus,3.2505,0.51195017,0.506,-0.295849483,1.0485,0.020568435,0.482594182,-0.316417918,146.712,2.166465638,0.757,-0.12090412,0.274,-0.562249437,0.526,-0.279014256,110.536,2.043503745,18.9115,1.276725977,8.643,0.936664513,2.188071272,0.340061464,-82.55,8.866667
C_congestus_MO-1053117,C_congestus,2.5705,0.410017608,0.366,-0.436518915,0.847,-0.07211659,0.432113341,-0.364402325,127.1135,2.104191677,0.814,-0.089375595,0.263,-0.580044252,0.485,-0.314258261,32.617,1.513444014,10.465,1.019739233,4.8225,0.683272236,2.170036288,0.336466996,N/A,N/A
C_congestus_MO-1190555,C_congestus,2.4365,0.386766416,0.358,-0.446116973,0.815,-0.088842391,0.439263804,-0.357274582,151.7385,2.181095787,0.7895,-0.102647866,0.27,-0.568636236,0.5895,-0.229516191,153.783,2.186908329,22.704,1.356102378,11.323,1.053961507,2.005122317,0.302140871,N/A,N/A
C_congestus_MO-1190848,C_congestus,2.674,0.427161403,0.3205,-0.494171966,0.9075,-0.042153366,0.353168044,-0.4520186,133.4385,2.125281151,1.2415,0.093946724,0.168,-0.774690718,0.5415,-0.266401539,145.438,2.162677894,21.021,1.322653372,10.837,1.034909073,1.939743471,0.287744299,N/A,N/A
C_congestus_MO-1290341,C_congestus,2.973,0.473194909,0.46,-0.337242168,1.058,0.024485668,0.434782609,-0.361727836,132.807,2.123220966,1.354,0.131618664,0.277,-0.557520231,0.688,-0.162411562,122.9035,2.089564251,23.016,1.362029849,8.643,0.936664513,2.662964249,0.425365336,N/A,N/A
C_congestus_MO-1290342,C_congestus,2.426,0.384890797,0.583,-0.234331445,0.777,-0.109578981,0.75032175,-0.124752464,143.628,2.157239113,1.401,0.146438135,0.312,-0.505845406,0.575,-0.240332155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-77.521389,2.492778
C_congestus_MO-1290343,C_congestus,2.267,0.35545152,0.525,-0.279840697,0.957,-0.019088062,0.548589342,-0.260752634,131.624,2.119335085,N/A,N/A,N/A,N/A,N/A,N/A,220.654,2.343711805,28.366,1.452798099,11.808,1.072176344,2.402269648,0.380621754,N/A,N/A
C_congestus_MO-1290345,C_congestus,2.26,0.354108439,0.406,-0.391473966,0.852,-0.069560405,0.476525822,-0.321913561,126.687,2.102732052,1.22,0.086359831,0.27,-0.568636236,0.631,-0.199970641,114.505,2.058824451,19.846,1.297672987,8.663,0.937668314,2.290892301,0.360004673,-76.65,18.516667
C_congestus_MO-1290346,C_congestus,2.652,0.42357352,0.362,-0.441291429,0.931,-0.031050319,0.388829216,-0.41024111,140,2.146128036,1.435,0.156851901,0.193,-0.714442691,0.509,-0.293282218,157.355,2.196880547,26.787,1.427924078,9.963,0.99839013,2.688647998,0.429533947,N/A,N/A
C_congestus_MO-1290347,C_congestus,2.494,0.396896449,0.549,-0.260427656,1.135,0.054995862,0.483700441,-0.315423517,149.868,2.175708912,1.339,0.126780577,0.229,-0.640164518,0.532,-0.274088368,236.124,2.373140132,30.646,1.486373797,11.886,1.075035726,2.578327444,0.411338071,N/A,N/A
C_congestus_MO-1290350,C_congestus,3.087,0.489536629,0.407,-0.390405591,0.98,-0.008773924,0.415306122,-0.381631666,138.9445,2.14284136,1.295,0.112269768,0.2725,-0.564633493,0.672,-0.172630727,99.276,1.99684427,21.4415,1.331255164,7.306,0.863679668,2.934779633,0.467575496,N/A,N/A
C_congestus_MO-1290354,C_congestus,2.288,0.35945602,0.387,-0.412289035,0.895,-0.048176965,0.432402235,-0.36411207,148.941,2.173014265,0.817,-0.087777943,0.238,-0.623423043,0.494,-0.306273051,198.133,2.296956815,29.516,1.470057502,10.278,1.011908613,2.871764935,0.458148888,N/A,N/A
C_congestus_MO-1290355,C_congestus,3.1765,0.50194886,0.6305,-0.200314909,1.195,0.077367905,0.527615063,-0.277682814,144.3635,2.159457403,1.27,0.103803721,0.222,-0.653647026,0.516,-0.287350298,90.21,1.955254683,16.138,1.207849711,8.381,0.923295841,1.925545878,0.28455387,N/A,N/A
C_congestus_MO-1290356,C_congestus,3.045,0.483587297,0.488,-0.311580178,0.988,-0.005243055,0.493927126,-0.306337123,130.436,2.115397472,1.069,0.028977705,0.327,-0.485452247,0.692,-0.159893906,127.11,2.104179719,22.262,1.347564178,9.403,0.973266436,2.367542274,0.374297742,N/A,N/A
C_congestus_MO-1290360,C_congestus,2.8485,0.454616224,0.4825,-0.316502682,0.8755,-0.05774385,0.551113649,-0.258758833,126.7735,2.103028481,0.9685,-0.013900375,0.216,-0.665546249,0.493,-0.307153081,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-75.65,5.533333
C_congestus_MO-1290361,C_congestus,3.263,0.513617074,0.53,-0.27572413,1.007,0.003029471,0.526315789,-0.278753601,143.091,2.155612319,1.381,0.140193679,0.242,-0.616184634,0.594,-0.226213555,137.273,2.137585125,25.4,1.404833717,8.594,0.934195349,2.955550384,0.470638367,-76.433333,6.666667
C_congestus_MO-1290362,C_congestus,2.93,0.46686762,0.335,-0.474955193,0.806,-0.093664958,0.415632754,-0.381290235,128.553,2.109082216,N/A,N/A,N/A,N/A,N/A,N/A,100.866,2.003744799,22.938,1.360555548,7.543,0.877544108,3.040965133,0.483011441,-76.633333,3.416667
C_congestus_MO-1290363,C_congestus,2.568,0.409595019,0.297,-0.527243551,0.7825,-0.106515654,0.379552716,-0.420727897,136.759,2.135955917,0.9435,-0.025258095,0.237,-0.625251654,0.556,-0.254925208,145.366,2.16246284,26.675,1.426104428,9.807,0.991536175,2.719995921,0.434568253,-76.65,3.466667
C_congestus_MO-1290408,C_congestus,3.989,0.600864036,0.534,-0.272458743,1.141,0.057285644,0.468010517,-0.329744387,153.832,2.187046686,1.412,0.149834697,0.332,-0.478861916,0.82,-0.086186148,42.437,1.627744675,11.791,1.071550639,5.085,0.706290957,2.318780728,0.365259682,N/A,N/A
C_congestus_MO-1291149,C_congestus,3.027,0.481012421,0.418,-0.378823718,1.11,0.045322979,0.376576577,-0.424146697,152.529,2.183352423,1.156,0.062957834,0.23,-0.638272164,0.56,-0.251811973,103.117,2.01333027,20.165,1.304598226,9.961,0.99830294,2.024395141,0.306295286,-76.607778,3.543056
C_congestus_MO-185364,C_congestus,3.355,0.525692525,0.397,-0.401209493,0.848,-0.071604148,0.468160377,-0.329605345,132.968,2.123747136,0.942,-0.025949097,0.274,-0.562249437,N/A,N/A,94.31,1.974557745,16.951,1.229195324,9.359,0.971229447,1.811197778,0.257965877,N/A,N/A
C_congestus_MO-2491905,C_congestus,3.268,0.514282048,0.4,-0.397940009,1.08,0.033423755,0.37037037,-0.431363764,139.95,2.145972903,1.308,0.116607744,N/A,N/A,N/A,N/A,87.229,1.940660894,15.731,1.196756331,8.108,0.90891374,1.940182536,0.287842591,N/A,N/A
C_congestus_MO-2726043,C_congestus,2.74,0.437750563,0.212,-0.673664139,0.871,-0.059981845,0.243398393,-0.613682294,136.669,2.135670017,0.835,-0.078313525,0.229,-0.640164518,0.486,-0.313363731,230.453,2.362582366,31.268,1.495100103,11.9,1.075546961,2.627563025,0.419553142,-82.50965,9.25632
C_congestus_MO-2920249,C_congestus,3.008,0.478277832,0.239,-0.621602099,0.957,-0.019088062,0.249738767,-0.602514037,140.672,2.148207662,1.002,0.000867722,N/A,N/A,N/A,N/A,101,2.004321374,20.36,1.308777774,7.772,0.890532792,2.619660319,0.418244982,N/A,N/A
C_congestus_MO-2956290,C_congestus,2.894,0.461498527,0.368,-0.434152181,0.89,-0.050609993,0.413483146,-0.383542188,142.496,2.153802673,N/A,N/A,N/A,N/A,N/A,N/A,48.973,1.689956709,16.475,1.216825423,5.078,0.705692697,3.244387554,0.511132727,N/A,N/A
C_congestus_MO-747334,C_congestus,3.268,0.514282048,0.44,-0.356547324,0.768,-0.11463878,0.572916667,-0.241908544,136.689,2.135733566,0.848,-0.071604148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-83.683333,9.483333
C_congestus_MO-749798,C_congestus,2.773,0.44294987,0.301,-0.521433504,0.6385,-0.194839098,0.471417384,-0.326594406,130.845,2.116757132,1.0875,0.036429266,0.217,-0.663540266,0.6395,-0.194159451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C_congestus_MO-749799,C_congestus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,105.8195,2.024565705,18.125,1.258278015,8.8525,0.947065935,2.047444225,0.31121208,N/A,N/A
C_congestus_MO-749800,C_congestus,3.1965,0.504674709,0.4655,-0.332080315,0.917,-0.037630664,0.507633588,-0.29444965,140.366,2.147261924,0.845,-0.073143291,0.2465,-0.608183076,0.584,-0.233587153,118.888,2.075138021,22.814,1.358201437,8.5295,0.930923574,2.674717158,0.427277864,N/A,N/A
C_congestus_MO-749801,C_congestus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.8825,1.48971245,12.084,1.082210717,3.736,0.572406868,3.234475375,0.509803849,N/A,N/A
C_congestus_MO-749802,C_congestus,3.0645,0.486359626,0.3405,-0.467882884,0.8795,-0.055764156,0.387151791,-0.412118728,143.645,2.157290514,0.838,-0.076755981,0.289,-0.539102157,0.653,-0.185086819,159.9305,2.203931295,26.266,1.41939394,9.2635,0.966775106,2.835429373,0.452618834,N/A,N/A
C_congestus_MO-749803,C_congestus,3.157,0.499274582,0.3645,-0.438302467,0.9535,-0.020679303,0.382275826,-0.417623165,134.707,2.129390164,0.7825,-0.106515654,0.2955,-0.529442515,0.657,-0.18243463,108.2555,2.03444997,23.47,1.37051309,7.6315,0.882609909,3.075411125,0.487903181,N/A,N/A
C_congestus_MO-749804,C_congestus,2.692,0.430075056,0.377,-0.42365865,0.823,-0.084600165,0.458080194,-0.339058485,135.706,2.13259905,1.058,0.024485668,0.189,-0.723538196,0.534,-0.272458743,93.193,1.969383292,20.144,1.304145713,7.198,0.857211842,2.798555154,0.44693387,N/A,N/A
C_congestus_MO-749805,C_congestus,2.722,0.434888121,0.341,-0.467245621,0.72,-0.142667504,0.473611111,-0.324578117,133.929,2.126874626,0.781,-0.107348966,0.348,-0.458420756,0.664,-0.177831921,43.906,1.642523873,12.364,1.092158996,5.405,0.732795698,2.287511563,0.359363298,N/A,N/A
C_congestus_MO-749806,C_congestus,2.944,0.468937806,0.368,-0.434152181,0.902,-0.044793462,0.407982262,-0.389358719,138.053,2.140045849,0.906,-0.042871802,0.2455,-0.609948504,0.572,-0.242603971,102.8975,2.012404823,21.2335,1.327021587,7.8995,0.897599603,2.687954934,0.429421983,N/A,N/A
C_congestus_MO-749807,C_congestus,2.8515,0.455073376,0.334,-0.476253533,0.828,-0.081969663,0.403381643,-0.39428387,140.731,2.148389774,0.7705,-0.113227357,0.242,-0.616184634,0.5445,-0.264002116,117.131,2.068671851,24.243,1.384586361,7.976,0.901785145,3.03949348,0.482801216,N/A,N/A
C_congestus_MO-749808,C_congestus,2.646,0.42258984,0.314,-0.503070352,0.881,-0.055024092,0.356413167,-0.44804626,129.844,2.113421886,0.971,-0.01278077,0.252,-0.598599459,0.562,-0.250263684,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C_congestus_MO-749809,C_congestus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,137.0345,2.13682992,25.263,1.402484922,9.1035,0.959208397,2.775086505,0.443276526,N/A,N/A
C_congestus_MO-749810,C_congestus,2.9415,0.468568853,0.367,-0.435333936,1.064,0.026941628,0.344924812,-0.462275564,137.289,2.137635742,1.509,0.17868924,0.23,-0.638272164,0.588,-0.230622674,205.715,2.31326596,27.701,1.442495447,11.328,1.05415324,2.445356638,0.388342207,N/A,N/A
C_congestus_MO-749811,C_congestus,2.649,0.423081958,0.464,-0.333482019,0.738,-0.131943638,0.628726287,-0.201538381,159.54,2.202869588,0.808,-0.092588639,0.229,-0.640164518,0.477,-0.321481621,146.58,2.166074717,25.126,1.400123355,9.282,0.967641564,2.706959707,0.432481791,N/A,N/A
C_congestus_MO-749812,C_congestus,2.645,0.422425676,0.357,-0.447331784,0.865,-0.062983893,0.412716763,-0.384347891,139.13,2.143420785,1.1945,0.077186154,0.2525,-0.597738618,0.5515,-0.258454483,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
C_congestus_MO-749813,C_congestus,2.924,0.465977368,0.377,-0.42365865,0.884,-0.053547735,0.426470588,-0.370110915,133.2145,2.124551499,1.085,0.035429738,0.225,-0.647817482,0.604,-0.218963061,138.5525,2.141614366,25.2275,1.401874215,9.354,0.970997366,2.696974556,0.430876849,N/A,N/A
C_congestus_MO-749815,C_congestus,2.756,0.440279213,0.329,-0.482804102,0.948,-0.023191663,0.347046414,-0.459612439,115.774,2.063611038,0.844,-0.073657553,0.235,-0.628932138,0.57,-0.244125144,174.163,2.240955897,23.523,1.371492709,10.605,1.025510673,2.218104668,0.345982036,N/A,N/A
